target,st_spectype,st_teff,ra,dec,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
HD 5608,,4929,14.5594349,33.9505774,2,GALEX,6.37239E+18,AIS_42_1_68,14.19983973,33.60563545,53234.9412,164.05,UV,FUV,,55362.87413,GALEX,AIS,0
Kepler-331,,4631,291.8343455,39.3073462,2,GALEX,3.72937E+18,MISKEP_08733_0015,291.5603981,38.94579835,55776.07289,1149,UV,NUV,,55992.21536,GALEX,MIS,0
HD 17092,K0 III,4650,41.5924261,49.6530375,2,GALEX,6.37285E+18,AIS_55_1_62,41.74143225,49.07023588,55884.51251,105,UV,NUV,,56188.98407,GALEX,AIS,0
K2-141,,4599,350.9170464,-1.1891827,2,GALEX,6.3763E+18,AIS_153_1_18,351.2580368,-1.239189411,52929.97764,109,UV,NUV,,55361.80542,GALEX,AIS,0
K2-141,,4599,350.9170464,-1.1891827,2,GALEX,6.3763E+18,AIS_153_1_18,351.2580368,-1.239189411,52929.97763,110,UV,FUV,,55361.80542,GALEX,AIS,0
HD 131496,,4886,223.3461495,18.2352618,2,GALEX,6.38348E+18,AIS_357_1_10,223.5424735,18.052433,54250.88747,208,UV,NUV,,55377.71207,GALEX,AIS,0
HD 131496,,4886,223.3461495,18.2352618,2,GALEX,6.38348E+18,AIS_357_1_10,223.5424735,18.052433,54250.88747,208,UV,FUV,,55377.71207,GALEX,AIS,0
HD 128311,,4931.94,219.0032292,9.7454368,2,GALEX,6.38351E+18,AIS_358_1_64,219.2521485,9.387067109,52813.32334,365,UV,NUV,,55266.16944,GALEX,AIS,0
HD 128311,,4931.94,219.0032292,9.7454368,2,GALEX,6.38351E+18,AIS_358_1_64,219.2521485,9.387067109,52813.32334,189,UV,FUV,,55266.16944,GALEX,AIS,0
NGTS-21,K3 V,4660,311.2583112,-35.4278412,2,GALEX,6.38439E+18,AIS_383_1_62,310.6820104,-35.28206046,53975.39403,185.05,UV,NUV,,55426.91998,GALEX,AIS,0
NGTS-21,K3 V,4660,311.2583112,-35.4278412,2,GALEX,6.38439E+18,AIS_383_1_62,310.6820104,-35.28206046,53975.39403,185.05,UV,FUV,,55426.91998,GALEX,AIS,0
